station_id,mae_h2,mae_h2e,n_test_cells,true_doc_mean,pred_doc_mean,mae,bias,lat,lon,huc2,upstream_degree,downstream_degree,hist_doc_mean,improvement
05464935,0.7197042107582092,0.8325080871582031,25,3.757999897003174,4.299459457397461,1.0286160707473757,0.541459321975708,41.45891465,-91.2112657,7,1,1,3.757999897003174,-0.1128038763999939
06882000,1.9605886936187744,2.07559871673584,35,5.829285621643066,3.692483425140381,2.205987930297852,-2.136802196502685,40.04463611,-96.58738611,10,1,1,5.829285621643066,-0.11501002311706543
06307616,2.4554014205932617,2.575963020324707,30,7.466667175292969,6.015718460083008,2.629197359085083,-1.4509483575820925,45.41160556,-106.4573528,10,2,1,7.466667175292969,-0.12056159973144531
412229106144100,0.35188695788383484,0.48450976610183716,28,0.9287500381469728,1.0783978700637815,0.3627424538135528,0.1496479660272598,41.3747222,-106.2447222,10,0,1,0.9287500381469728,-0.13262280821800232
07257500,1.3003789186477661,1.4732855558395386,12,1.8576388359069824,3.635574579238892,2.2070868015289307,1.7779359817504885,35.46638889,-93.0411111,11,1,1,1.8576388359069824,-0.17290663719177246
07049187,1.0708749294281006,1.2569785118103027,119,2.3156723976135254,4.100698947906494,1.82685387134552,1.7850269079208374,36.250278,-94.026333,11,2,1,2.3156723976135254,-0.18610358238220215
03303280,0.9504474401473999,1.2096772193908691,299,3.5398495197296143,3.745975017547608,1.2193156480789185,0.206125259399414,37.89950088,-86.70554179,5,7,1,3.5398495197296143,-0.25922977924346924
05357225,1.7649857997894287,2.07063627243042,129,5.680140495300293,8.697319984436035,5.108528137207031,3.017179250717163,46.06138889,-89.6472222,7,0,1,5.680140495300293,-0.3056504726409912
06885500,1.944907546043396,2.3043134212493896,35,5.732856750488281,3.776158332824707,2.279461145401001,-1.956698656082153,39.68194349,-96.4427888,10,0,1,5.732856750488281,-0.35940587520599365
03373530,2.638429880142212,3.011950731277466,27,3.5351850986480717,3.720273733139038,2.4873692989349365,0.1850884109735489,38.6364393,-86.365253,5,0,1,3.5351850986480717,-0.3735208511352539
393306086585201,1.016933560371399,1.4445092678070068,26,3.3019232749938965,2.518939971923828,1.0066286325454712,-0.7829830646514893,39.5517104,-86.9811239,5,1,1,3.3019232749938965,-0.4275757074356079
06337470,3.4837646484375,4.258703708648682,20,15.671000480651855,16.99014663696289,4.044219970703125,1.319147706031799,47.60000966,-102.5110168,10,0,1,15.671000480651855,-0.7749390602111816
06336500,4.625298500061035,5.951152324676514,26,12.315384864807127,17.525707244873047,8.189043045043945,5.21032190322876,46.9899222,-104.1837667,10,0,1,12.315384864807127,-1.3258538246154785
07373420,0.6843951344490051,2.305518627166748,320,3.788262844085693,5.415186882019043,1.7251389026641846,1.6269237995147705,30.75851659,-91.3959464,8,2,1,3.788262844085693,-1.621123492717743
06759910,0.6121676564216614,6.363008975982666,30,4.176666736602783,5.427849292755127,1.616313099861145,1.2511829137802124,40.3575,-103.5280556,10,1,1,4.176666736602783,-5.750841319561005
07374000,1.8392689228057861,13.15954875946045,135,3.702763319015503,4.65976095199585,1.0479588508605957,0.9569974541664124,30.44566667,-91.1915556,8,1,1,3.702763319015503,-11.320279836654663
