site_no,DOC_monthly_labels,site_tp_cd,station_nm
385220092270701,25,GW,COLUMBIA USGS 08S
385220092270702,26,GW,COLUMBIA USGS 08D
385328092265901,25,GW,COLUMBIA MW 01-3A
385328092265902,25,GW,COLUMBIA MW 01-3B
385335092264301,25,GW,COLUMBIA MW 01-2A
385335092264302,24,GW,COLUMBIA MW 01-2B
385347092262701,25,GW,COLUMBIA MW 01-1A
385347092262702,25,GW,COLUMBIA MW 01-1B
385406092261401,27,GW,COLUMBIA MW 01-4A
385406092261402,27,GW,COLUMBIA MW 01-4B
385419092280001,25,GW,COLUMBIA USGS 09S
385419092280002,26,GW,COLUMBIA USGS 09D
385520094420000,15,ST,"INDIAN C AT COLLEGE BLVD, JOHNSON CO, KS"
390617094190201,36,ST,Bundshu Creek at N. Little Blue Pkwy in Independen
391344105133601,32,ST,"FOURMILE CREEK ABOVE YMCA CAMP NEAR DECKERS, CO"
392023105070601,31,ST,"PINE CREEK NEAR SPRUCEWOOD, CO"
